time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-21T20:03:52.880Z,31.323,56.2781,10,4.6,mb,,83,5.876,0.65,us,us1000dq0t,2018-04-21T23:41:32.040Z,"50km W of Ravar, Iran",earthquake,6,1.9,0.066,68,reviewed,us,us
2018-04-21T19:44:16.810Z,-48.9234,123.6105,10,5.8,mww,,47,16.679,0.75,us,us1000dq0e,2018-04-21T21:49:30.040Z,"Western Indian-Antarctic Ridge",earthquake,10.4,1.8,0.06,27,reviewed,us,us
2018-04-21T18:07:11.350Z,-11.854,165.2978,18.28,4.7,mb,,107,5.78,0.75,us,us1000dpz7,2018-04-24T15:32:40.040Z,"138km SSW of Lata, Solomon Islands",earthquake,9.7,5.4,0.082,48,reviewed,us,us
2018-04-21T17:01:56.080Z,26.457,141.5728,73.61,5,mb,,91,0.838,1.06,us,us1000dpy6,2018-04-24T14:35:27.040Z,"94km SW of Chichi-shima, Japan",earthquake,8,4.6,0.03,356,reviewed,us,us
2018-04-21T15:16:47.910Z,1.7767,96.4574,33.1,4.6,mb,,199,1.212,1.23,us,us1000dpx8,2018-04-21T16:42:42.040Z,"78km S of Sinabang, Indonesia",earthquake,8.9,6.6,0.099,30,reviewed,us,us
2018-04-21T11:36:33.710Z,-3.293,101.6638,65.64,4.6,mb,,180,1.669,0.46,us,us1000dpu5,2018-04-21T12:15:23.040Z,"87km NW of Bengkulu, Indonesia",earthquake,9,6.3,0.119,21,reviewed,us,us
2018-04-21T09:47:17.180Z,35.4975,141.0217,12.58,5,mww,,96,2.374,0.97,us,us1000dpt0,2018-04-21T19:34:01.693Z,"31km SSE of Hasaki, Japan",earthquake,4.1,3.9,0.073,18,reviewed,us,us
2018-04-21T07:52:53.770Z,-27.3139,-69.0679,93.33,4.6,mb,,45,0.479,1.04,us,us1000dprt,2018-04-21T21:52:39.040Z,"125km E of Copiapo, Chile",earthquake,6.5,6.6,0.084,42,reviewed,us,us
2018-04-21T05:06:47.700Z,-7.4152,126.6725,333.49,4.8,mb,,25,3.326,0.74,us,us1000dpqq,2018-04-21T05:23:51.169Z,"175km NE of Dili, East Timor",earthquake,7,6.2,0.075,55,reviewed,us,us
2018-04-21T05:03:54.340Z,-22.0126,-68.7231,125.82,4.5,mb,,133,0.527,1.15,us,us1000dpqm,2018-04-21T05:27:04.040Z,"54km NNE of Calama, Chile",earthquake,7.5,8.3,0.205,7,reviewed,us,us
2018-04-21T00:20:06.340Z,39.973,23.65,10,4.8,mww,,40,0.9,0.69,us,us1000dpnu,2018-04-24T19:34:08.713Z,"3km ESE of Pefkochori, Greece",earthquake,4.5,1.8,0.073,18,reviewed,us,us
2018-04-20T23:16:36.370Z,-9.3602,155.9793,10,4.7,mb,,55,16.724,0.7,us,us1000dpnp,2018-04-21T21:53:12.040Z,"168km SW of Gizo, Solomon Islands",earthquake,8.4,1.9,0.058,91,reviewed,us,us
2018-04-20T22:29:24.470Z,18.3221,96.1596,17.07,5,mww,,21,1.973,0.68,us,us1000dpmh,2018-04-21T21:49:00.483Z,"33km WSW of Pyu, Burma",earthquake,4.6,3.3,0.075,17,reviewed,us,us
2018-04-20T19:47:58.740Z,26.853,142.5645,37.87,4.8,mb,,86,0.416,0.95,us,us1000dpjc,2018-04-21T16:41:42.040Z,"42km SE of Chichi-shima, Japan",earthquake,7.4,6.1,0.048,133,reviewed,us,us
2018-04-20T19:30:37.430Z,-29.982,-176.2476,10,5,mb,,55,1.638,0.76,us,us1000dpih,2018-04-21T16:35:12.040Z,"178km ESE of Raoul Island, New Zealand",earthquake,5.1,1.8,0.055,108,reviewed,us,us
2018-04-20T15:46:41.140Z,-23.5027,-179.2784,541.66,4.6,mb,,130,5.845,0.73,us,us1000dpdh,2018-04-20T16:01:21.040Z,"South of the Fiji Islands",earthquake,14.4,12.9,0.104,28,reviewed,us,us
